시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11650,4163313,0,사임당로17길,Saimdang-ro  17-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163313 
11650,4163314,1,사임당로18길,Saimdang-ro  18-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163314 
11650,4163314,0,사임당로18길,Saimdang-ro  18-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163314 
11650,4163315,1,사임당로19길,Saimdang-ro  19-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163315 
11650,4163315,0,사임당로19길,Saimdang-ro  19-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163315 
11650,4163316,1,사임당로1길,Saimdang-ro  1-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163316 
11650,4163124,1,동광로30길,Donggwang-ro  30-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163124 
11650,4163124,0,동광로30길,Donggwang-ro  30-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163124 
11650,4163125,1,동광로32길,Donggwang-ro  32-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163125 
11650,4163125,2,동광로32길,Donggwang-ro  32-gil,서울특별시,서초구,1,10702,반포동,3121004,,0,,,107,116504163125 
11650,4163125,0,동광로32길,Donggwang-ro  32-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163125 
11650,4163126,1,동광로33길,Donggwang-ro  33-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163126 
11650,4163126,2,동광로33길,Donggwang-ro  33-gil,서울특별시,서초구,1,10702,반포동,3121004,,0,,,107,116504163126 
11650,4163126,0,동광로33길,Donggwang-ro  33-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163126 
11650,4163127,1,동광로39길,Donggwang-ro  39-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163127 
11650,4163127,0,동광로39길,Donggwang-ro  39-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163127 
11650,4163128,1,동광로3길,Donggwang-ro  3-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163128 
11650,4163128,0,동광로3길,Donggwang-ro  3-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163128 
11650,4163129,1,동광로41길,Donggwang-ro  41-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163129 
11650,4163129,0,동광로41길,Donggwang-ro  41-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163129 
11650,4163130,1,동광로42길,Donggwang-ro  42-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163130 
11650,4163130,0,동광로42길,Donggwang-ro  42-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163130 
11650,4163131,1,동광로43길,Donggwang-ro  43-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163131 
11650,4163131,0,동광로43길,Donggwang-ro  43-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163131 
11650,4163132,1,동광로45길,Donggwang-ro  45-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163132 
11650,4163132,0,동광로45길,Donggwang-ro  45-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163132 
11650,4163133,1,동광로46길,Donggwang-ro  46-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163133 
11650,4163133,0,동광로46길,Donggwang-ro  46-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163133 
11650,4163134,1,동광로47길,Donggwang-ro  47-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163134 
11650,4163134,0,동광로47길,Donggwang-ro  47-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163134 
11650,4163135,1,동광로49길,Donggwang-ro  49-gil,서울특별시,서초구,1,10701,반포동,3121004,,0,,,107,116504163135 
11650,4163135,0,동광로49길,Donggwang-ro  49-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163135 
11650,4163136,1,동광로4길,Donggwang-ro  4-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163136 
11650,4163136,0,동광로4길,Donggwang-ro  4-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163136 
11650,4163137,1,동광로5길,Donggwang-ro  5-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163137 
11650,4163137,0,동광로5길,Donggwang-ro  5-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163137 
11650,4163138,1,동광로6길,Donggwang-ro  6-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163138 
11650,4163138,0,동광로6길,Donggwang-ro  6-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163138 
11650,4163139,1,동광로7길,Donggwang-ro  7-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163139 
11650,4163139,0,동광로7길,Donggwang-ro  7-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163139 
11650,4163140,1,동광로8길,Donggwang-ro  8-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163140 
11650,4163140,0,동광로8길,Donggwang-ro  8-gil,서울특별시,서초구,2,0,,3121004,,0,,,,116504163140 
11650,4163141,1,동광로9길,Donggwang-ro  9-gil,서울특별시,서초구,1,10101,방배동,3121004,,0,,,101,116504163141 
11710,4169198,0,백제고분로46길,Baekjegobun-ro 46-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169198 
11710,4169199,1,백제고분로48가길,Baekjegobun-ro 48ga-gil,서울특별시,송파구,1,11101,방이동,3123006,,0,,,111,117104169199 
11710,4169199,0,백제고분로48가길,Baekjegobun-ro 48ga-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169199 
11710,4169200,1,백제고분로48길,Baekjegobun-ro 48-gil,서울특별시,송파구,1,11101,방이동,3123006,,0,,,111,117104169200 
11710,4169200,0,백제고분로48길,Baekjegobun-ro 48-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169200 
11710,4169201,1,백제고분로48나길,Baekjegobun-ro 48na-gil,서울특별시,송파구,1,11101,방이동,3123006,,0,,,111,117104169201 
11710,4169201,0,백제고분로48나길,Baekjegobun-ro 48na-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169201 
11710,4169202,1,백제고분로50길,Baekjegobun-ro 50-gil,서울특별시,송파구,1,11101,방이동,3123006,,0,,,111,117104169202 
11710,4169202,0,백제고분로50길,Baekjegobun-ro 50-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169202 
11710,4169203,1,백제고분로51길,Baekjegobun-ro 51-gil,서울특별시,송파구,1,11101,방이동,3123006,,0,,,111,117104169203 
11710,4169203,0,백제고분로51길,Baekjegobun-ro 51-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169203 
11710,4169204,1,백제고분로7길,Baekjegobun-ro 7-gil,서울특별시,송파구,1,10101,잠실동,3123006,,0,,,101,117104169204 
11710,4169204,0,백제고분로7길,Baekjegobun-ro 7-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169204 
11710,4169205,1,백제고분로9길,Baekjegobun-ro 9-gil,서울특별시,송파구,1,10101,잠실동,3123006,,0,,,101,117104169205 
11710,4169205,0,백제고분로9길,Baekjegobun-ro 9-gil,서울특별시,송파구,2,0,,3123006,,0,,,,117104169205 
